Name	Hindi_lang
Arapesh	अल्पेश
Aari	ऐरी
Abau	अबाउ
Arabic	अरबी
Abidji	आबिदजी
Arabic	अरबी
Arabic	अरबी
Abkhaz	अबखज़
Alabama	अलबामा
Arabana	अरबन
Arbore	अरबोर
Abun	पाव रोटी # मीठी रोटी
Abui	अबुई
Abenaki	आबनाकी
Abaza	अबजा
Acehnese	ऐशेंसी
Achagua	अचगुआ
Acholi	अचोली
Achumawi	अचुमावी
Achang	अचंग
Acoma	ए कोमा
Achuar	अचौर
Adamorobe Sign Language	Adamorobe सांकेतिक भाषा
Adang	अदंग
Adioukrou	आदिकौक्र
Andoke	एंडोक
Adynyamathanha	आदिमनाथन
Adyghe	अदिघे
Adyghe	अदिघे
Adzera	एडज़ेरा
Aleut	अलेउत
Arabic	अरबी
Arabic	अरबी
Afrikaans	अफ्रीकी
Agarabi	अगरबती
Agta	अगता
Agta	अगता
Aghem	अगम
Aghul	अघुल
Angami	अंगामी
Angolar	अंगदान करनेवाला
Aguaruna	अगुरूना
Anguthimri	अंगुठीमरी
Aguacatec	अगुआटेक
Alagwa	अलागवा
Arapaho	अराफाओ
Arabic	अरबी
Ahtna	आहट
Aghu	अघू
Ainu	आइनु
Aizi	आइज़ि
Aja	आजा
Ajagbe	अजगबे
Aka	आका
Aka-Biada	आका-बियाडा
Aka-Cari	आका-कैरी
Akha	अखा
Aka-Kede	आका-केडे
Aklanon	अकलानन
Arakanese	अरकानी
Akan	अकान
Arabic	अरबी
Arikara	अरिकारा
Akawaio	अकावायो
Alamblak	आलमबलाक
Albanian	अल्बानियाई
Allentiac	एलेंटिक
Alladian	अल्लडियन
Aleut	अलेउत
Algonquin	अल्गुनकिन
Arop-Lokep	अरोप-लोकप
Ala'ala	अलाअला
Alune	Alune
Alsea	Alsea
Alsatian	Alsatian
Alutor	अलटर
Alawa	अलवा
Alas	काश
Alyawarra	एल्यवरा
Amara	अमारा
Ambulas	एंबुलेस
Amahuaca	अमहुआका
Amdo	आमदो
Amele	अमेल
Amharic	अम्हारिक्
Amis	एमिस
Amarakaeri	अमराकरी
Ambae	अंबे
Ama	अमा
Amanab	अमानब
Amo	आमो
Arrernte	एरेर्नेट
Ambai	अंबाई
Arabic	अरबी
Arabic	अरबी
Amdo	Amdo
Amuesha	अमीषा
Anamuxra	अनामुक्ष
Amuzgo	अमुजो
Araona	अरोना
Angas	अंगस
Anggor	अंगरेज
//Ani	// एनी
Anejom	Anejom
Arabic	अरबी
Anindilyakwa	अनिंदिलकवा
Anong	अनंग
Angaataha	अंगदाहा
Anufo	Anufo
Andi	और मैं
Anywa	एनीवा
Ao	ए ओ
Mufian	मुफ़ियान
Arabic	अरबी
Apache	अपाचे
Ampeeli	अमपेली
Apache	अपाचे
A-Pucikwar	उ० — पुसिकवार
Apatani	अपातानी
Apache	अपाचे
Arawak	अरावक
Arabela	अरेबला
Archi	अर्ची
Arandai	अरंडई
Arabic	अरबी
